goal_transparencia,goal_eficiencia,goal_efectividad,goal_confianza,goal_persuasion,goal_satisfaccion,goal_educacion,goal_debugging,goal_escrutinio
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
